tests_total,deaths_total,tests_1M_pop,continent,cases_recovered,cases_total,time,deaths_new,cases_active,population,deaths_1M_pop,cases_new,day,cases_1M_pop,country,cases_critical
248995,400,11265,Africa,21596,22109,2024-03-28T13:30:05+00:00,,113,22102838,18,,2024-03-28,1000,Burkina-Faso,
259958,126,31296,Africa,,7779,2024-03-28T13:30:05+00:00,,,8306436,15,,2024-03-28,937,Sierra-Leone,
187397,31,926612,Oceania,1605,17006,2024-03-28T13:30:05+00:00,,15370,202239,153,,2024-03-28,84089,Samoa,
410280,147,35313,Africa,18115,18819,2024-03-28T13:30:05+00:00,,557,11618511,13,,2024-03-28,1620,South-Sudan,1
535009,13,4965327,Oceania,15638,16950,2024-03-28T13:30:05+00:00,,1299,107749,121,,2024-03-28,157310,Tonga,
,,,Oceania,1056,1059,2024-03-28T13:30:05+00:00,,3,1622,,,2024-03-28,652898,Niue,
7850,123,11760,Asia,3487,26478,2024-03-28T13:30:05+00:00,,22868,667490,184,+1495,2024-03-28,39668,Macao,
71434,10,3917841,Oceania,6276,6290,2024-03-28T13:30:05+00:00,,4,18233,548,+11,2024-03-28,344979,Palau,
616788,40,15520193,North-America,6709,6752,2024-03-28T13:30:05+00:00,,3,39741,1007,+3,2024-03-28,169900,Turks-and-Caicos,4
112457,94,2929559,Europe,,21574,2024-03-28T13:30:05+00:00,,,38387,2449,,2024-03-28,562013,Liechtenstein,
29600,80,130008,Africa,6677,6759,2024-03-28T13:30:05+00:00,,2,227679,351,+2,2024-03-28,29687,Sao-Tome-and-Principe,
13646641,7118,1446722,Europe,985592,994037,2024-03-28T13:30:04+00:00,,1327,9432800,755,,2024-03-28,105381,Belarus,
496693,295,3000640,North-America,44720,45986,2024-03-28T13:30:04+00:00,,971,165529,1782,,2024-03-28,277812,Cura&ccedil;ao,3
150753,116,1758422,Europe,,38008,2024-03-28T13:30:04+00:00,,,85732,1353,,2024-03-28,443335,Isle-of-Man,
222773,37,3311280,North-America,8553,31472,2024-03-28T13:30:04+00:00,,22882,67277,550,,2024-03-28,467797,Cayman-Islands,1
651257,420,2072951,South-America,11254,98041,2024-03-28T13:30:04+00:00,,86367,314169,1337,+13,2024-03-28,312065,French-Guiana,6
400466,1361,23778,Africa,13182,27334,2024-03-28T13:30:04+00:00,,12791,16841795,81,+10,2024-03-28,1623,Somalia,
1252808,228,7099551,Europe,101321,101717,2024-03-28T13:30:04+00:00,,168,176463,1292,+91,2024-03-28,576421,Channel-Islands,
176919,188,618038,Africa,,42027,2024-03-28T13:30:04+00:00,,,286259,657,+19,2024-03-28,146815,Mayotte,
257839,844,643767,North-America,36366,38084,2024-03-28T13:30:04+00:00,,874,400516,2107,,2024-03-28,95087,Bahamas,1
3359014,5856,114771,South-America,546537,552695,2024-03-28T13:30:04+00:00,,302,29266991,200,+10,2024-03-28,18885,Venezuela,31
3693367,24613,34792,Africa,442182,516023,2024-03-28T13:30:04+00:00,,49228,106156692,232,,2024-03-28,4861,Egypt,122
1377915,1637,40077,Asia,241486,253662,2024-03-28T13:30:04+00:00,,10539,34382084,48,+136,2024-03-28,7378,Uzbekistan,23
1907195,2991,283460,Asia,196406,206897,2024-03-28T13:30:04+00:00,,7500,6728271,445,+7,2024-03-28,30750,Kyrgyzstan,131
4065369,690,1364257,Asia,513687,514524,2024-03-28T13:30:04+00:00,,147,2979915,232,+28,2024-03-28,172664,Qatar,16
672883,885,739866,Oceania,67226,69117,2024-03-28T13:30:04+00:00,,1006,909466,973,,2024-03-28,75997,Fiji,
242207,1408,405822,South-America,,82588,2024-03-28T13:30:04+00:00,,,596831,2359,,2024-03-28,138378,Suriname,
177885,292,1653068,North-America,42438,44224,2024-03-28T13:30:04+00:00,,1494,107609,2714,,2024-03-28,410969,Aruba,2
562941,5046,12240,Africa,58947,63993,2024-03-28T13:30:04+00:00,,0,45992020,110,,2024-03-28,1391,Sudan,
146269,3165,7553,Asia,54578,57743,2024-03-28T13:30:04+00:00,,0,19364809,163,+7,2024-03-28,2982,Syria,
2303734,21,2923739,Asia,61564,62697,2024-03-28T13:30:04+00:00,,1112,787941,27,+3,2024-03-28,79571,Bhutan,
2213831,316,4092223,Asia,163687,186694,2024-03-28T13:30:04+00:00,,22691,540985,584,,2024-03-28,345100,Maldives,25
4795578,10952,717380,Asia,1087587,1243838,2024-03-28T13:30:04+00:00,+5,145299,6684849,1638,+3934,2024-03-28,186068,Lebanon,74
604310,163,47268,Africa,27847,28036,2024-03-28T13:30:04+00:00,,26,12784726,13,,2024-03-28,2193,Benin,
2483848,6437,352782,Africa,500835,507274,2024-03-28T13:30:04+00:00,,2,7040745,914,+4,2024-03-28,72048,Libya,
6021981,1468,442778,Africa,132039,133518,2024-03-28T13:30:04+00:00,,11,13600464,108,,2024-03-28,9817,Rwanda,
6047766,12031,200088,Asia,991322,1003450,2024-03-28T13:30:04+00:00,,97,30225582,398,,2024-03-28,33199,Nepal,
