tests_total,deaths_total,tests_1M_pop,continent,cases_recovered,cases_total,time,deaths_new,cases_active,population,deaths_1M_pop,cases_new,day,cases_1M_pop,country,cases_critical
57320267,146811,666338,Asia,,7627186,2024-03-28T13:30:03+00:00,,,86022837,1707,,2024-03-28,88665,Iran,
13445472,18057,1553848,Europe,2596491,2614665,2024-03-28T13:30:03+00:00,,117,8653016,2087,,2024-03-28,302168,Serbia,
273400000,402612,1875095,Europe,23500207,24082671,2024-03-28T13:30:03+00:00,+71,179852,145805947,2761,+24912,2024-03-28,165169,Russia,
57834241,43517,5386552,Europe,4715206,4759041,2024-03-28T13:30:03+00:00,,318,10736784,4053,+36,2024-03-28,443246,Czechia,2
15254399,29492,90862,Asia,,2048914,2024-03-28T13:30:03+00:00,,,167885689,176,,2024-03-28,12204,Bangladesh,
11394556,49048,1186160,Europe,2152155,2230232,2024-03-28T13:30:03+00:00,,29029,9606259,5106,,2024-03-28,232164,Hungary,
16920079,17132,4263340,Asia,,1861665,2024-03-28T13:30:03+00:00,,,3968738,4317,,2024-03-28,469082,Georgia,
25984435,22992,1509718,Europe,8612069,8635591,2024-03-28T13:30:03+00:00,,530,17211447,1336,,2024-03-28,501735,Netherlands,
,258892,,Africa,12090796,12860894,2024-03-28T13:30:03+00:00,,511206,,,,2024-03-28,,Africa,529
522526476,232112,7628357,Europe,24675212,24910387,2024-03-28T13:30:03+00:00,,3063,68497907,3389,,2024-03-28,363666,UK,
23833472,14452,2716487,Europe,4437932,4452755,2024-03-28T13:30:03+00:00,,371,8773637,1647,,2024-03-28,507515,Switzerland,
1186851502,1218763,3544901,North-America,109682509,111752653,2024-03-28T13:30:03+00:00,,851381,334805269,3640,,2024-03-28,333784,USA,1111
46139518,28116,4549993,Europe,5614577,5642928,2024-03-28T13:30:03+00:00,,235,10140570,2773,,2024-03-28,556470,Portugal,61
37454182,34376,3209915,Europe,4826068,4861319,2024-03-28T13:30:03+00:00,,875,11668278,2946,,2024-03-28,416627,Belgium,
19500873,27390,1908301,Europe,2726215,2753953,2024-03-28T13:30:03+00:00,,348,10218971,2680,,2024-03-28,269494,Sweden,
7448789,21224,1364199,Europe,1856381,1877605,2024-03-28T13:30:03+00:00,,0,5460193,3887,,2024-03-28,343872,Slovakia,23
12108977,11958,2179850,Europe,1503724,1515949,2024-03-28T13:30:03+00:00,,267,5554960,2153,,2024-03-28,272900,Finland,
,32934,,Oceania,14730318,14878722,2024-03-28T13:30:03+00:00,,115470,,,+1020,2024-03-28,,Oceania,36
81916639,24356,3142326,Oceania,11806633,11843536,2024-03-28T13:30:03+00:00,,12547,26068792,934,+1020,2024-03-28,454319,Australia,8
10540357,9897,3959997,Europe,1386964,1397503,2024-03-28T13:30:03+00:00,,642,2661708,3718,+27,2024-03-28,525040,Lithuania,
39319355,120597,1041854,Europe,,6661841,2024-03-28T13:30:03+00:00,,,37739785,3195,+52,2024-03-28,176520,Poland,
,1553420,,Asia,205667391,221488428,2024-03-28T13:30:03+00:00,+3,14267617,,,+129,2024-03-28,,Asia,14733
935879495,533543,665334,Asia,,45034022,2024-03-28T13:30:03+00:00,+3,,1406631776,379,+129,2024-03-28,32016,India,
28730020,68924,1509617,Europe,3459320,3529078,2024-03-28T13:30:03+00:00,+7,834,19031335,3622,+390,2024-03-28,185435,Romania,33
,1695152,,North-America,127526658,131819337,2024-03-28T13:30:03+00:00,,2597527,,,,2024-03-28,,North-America,6266
,2101453,,Europe,248695963,253356749,2024-03-28T13:30:03+00:00,+7,2559333,,,+483,2024-03-28,,Europe,4483
,7008676,,All,675362069,704513162,2024-03-28T13:30:03+00:00,+10,22142417,,899.1,+1632,2024-03-28,90382,All,35000
66572774,58972,1734189,North-America,4875610,4944196,2024-03-28T13:30:03+00:00,,9614,38388419,1536,,2024-03-28,128794,Canada,99
