day,continent,cases_total,deaths_1M_pop,tests_1M_pop,cases_recovered,cases_new,cases_1M_pop,deaths_new,country,tests_total,time,deaths_total,cases_active,cases_critical,population
2024-06-27,Africa,12860924,,,12090808,,,,Africa,,2024-06-27T11:45:02+00:00,258892,511224,529,
2024-06-27,All,704753890,899.4,,675619811,0,90413,0,All,,2024-06-27T11:45:02+00:00,7010681,22123398,34794,
2024-06-27,North-America,111820082,3642,3544901,109814428,,333985,,USA,1186851502,2024-06-27T11:45:02+00:00,1219487,786167,940,334805269
2024-06-27,Asia,45035393,379,665334,,,32016,,India,935879495,2024-06-27T11:45:02+00:00,533570,,,1406631776
2024-06-27,Europe,40138560,2556,4139547,39970918,,612013,,France,271490188,2024-06-27T11:45:02+00:00,167642,0,,65584518
2024-06-27,Europe,38828995,2182,1458359,38240600,,462891,,Germany,122332384,2024-06-27T11:45:02+00:00,183027,405368,,83883596
2024-06-27,South-America,38743918,3303,296146,36249161,,179908,,Brazil,63776166,2024-06-27T11:45:02+00:00,711380,1783377,,215353593
2024-06-27,Asia,34571873,700,307892,34535939,,673523,,S-Korea,15804065,2024-06-27T11:45:02+00:00,35934,0,,51329899
2024-06-27,Asia,33803572,595,799578,,,269169,,Japan,100414883,2024-06-27T11:45:02+00:00,74694,,,125584838
2024-06-27,Europe,26723249,3261,4665010,26361218,,443445,,Italy,281126449,2024-06-27T11:45:02+00:00,196487,165544,22,60262770
2024-06-27,Europe,24910387,3389,7628357,24678275,,363666,,UK,522526476,2024-06-27T11:45:02+00:00,232112,0,,68497907
2024-06-27,Europe,24124215,2762,1875095,23545818,,165454,,Russia,273400000,2024-06-27T11:45:02+00:00,402756,175641,,145805947
2024-06-27,Asia,17232066,1194,1902052,,,201399,,Turkey,162743369,2024-06-27T11:45:02+00:00,102174,,,85561976
2024-06-27,Oceania,11853144,937,3142326,11820014,,454687,,Australia,81916639,2024-06-27T11:45:02+00:00,24414,8716,3,26068792
2024-06-27,Asia,11625195,437,867342,10640971,,117481,,Vietnam,85826548,2024-06-27T11:45:02+00:00,43206,941018,,98953541
2024-06-27,Asia,10241523,796,1286903,10222518,,428720,,Taiwan,30742304,2024-06-27T11:45:02+00:00,19005,0,,23888595
2024-06-27,South-America,10128845,2844,776264,9997258,,220143,,Argentina,35716069,2024-06-27T11:45:02+00:00,130841,746,,46010234
2024-06-27,Europe,8635786,1336,1509718,8612599,,501747,,Netherlands,25984435,2024-06-27T11:45:02+00:00,22992,195,,17211447
